City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,papatowai,-46.5619,169.4708,9.71,75,41,6.51,NZ,1724868041
84,inhambane,-23.865,35.3833,25.0,94,20,7.2,MZ,1724868042
85,namie,37.4833,141.0,23.32,94,100,1.78,JP,1724868043
86,yellowknife,62.456,-114.3525,17.45,75,40,3.6,CA,1724868045
87,impfondo,1.6381,18.0667,23.32,87,100,1.03,CG,1724868046
88,carnarvon,-24.8667,113.6333,19.58,77,1,6.22,AU,1724868047
89,olonkinbyen,70.9221,-8.7187,5.27,88,76,4.92,SJ,1724868048
90,tiksi,71.6872,128.8694,1.44,90,74,3.35,RU,1724868051
91,utrik,11.2278,169.8474,28.25,74,62,3.71,MH,1724868052
92,vilyuchinsk,52.9306,158.4028,10.15,87,40,4.68,RU,1724868053
93,claremore,36.3126,-95.6161,35.73,51,0,4.12,US,1724868054
94,rikaze,29.25,88.8833,15.94,46,81,1.96,CN,1724868055
95,hailar,49.2,119.7,15.64,50,100,2.02,CN,1724868057
96,ust-nera,64.5667,143.2,4.27,91,100,2.86,RU,1724868058
97,puerto ayora,-0.7393,-90.3518,20.31,94,79,1.34,EC,1724868059
98,kayangel,8.0823,134.7173,27.84,78,100,2.6,PW,1724868061
99,berlin,52.5244,13.4105,28.88,53,0,3.13,DE,1724867219
100,maintirano,-18.0667,44.0167,24.13,72,4,2.64,MG,1724868063
101,susuman,62.7833,148.1667,1.11,80,98,1.64,RU,1724868065
102,port lincoln,-34.7333,135.8667,12.1,71,68,3.92,AU,1724868066
103,sariveliler,36.6913,32.6196,19.02,69,45,1.53,TR,1724868067
104,prado,-17.3411,-39.2208,24.05,66,73,5.81,BR,1724867993
105,amga,60.8953,131.9608,8.74,98,100,4.85,RU,1724868069
106,hawaiian paradise park,19.5933,-154.9731,24.94,96,19,0.45,US,1724868071
107,suoyarvi,62.0833,32.35,14.52,78,93,2.34,RU,1724868072
108,san patricio,28.017,-97.5169,34.47,42,33,6.76,US,1724868073
109,hermanus,-34.4187,19.2345,8.78,59,91,6.18,ZA,1724867925
110,punta arenas,-53.15,-70.9167,5.06,70,40,15.95,CL,1724867746
111,avarua,-21.2078,-159.775,24.03,78,75,6.69,CK,1724868077
112,huarmey,-10.0681,-78.1522,20.21,71,26,5.23,PE,1724868078
113,onega,63.9061,38.1404,12.8,78,100,4.12,RU,1724868080
114,punto fijo,11.6956,-70.1996,31.88,58,98,6.82,VE,1724868081
115,hotan,37.0997,79.9269,28.53,29,71,4.09,CN,1724868084
116,targuist,34.9377,-4.3186,24.69,63,26,1.92,MA,1724868086
117,wailua homesteads,22.0669,-159.378,24.3,95,22,0.45,US,1724868087
118,ritchie,-29.038,24.6028,7.82,39,0,5.08,ZA,1724868090
119,dingcheng,32.1272,115.0394,23.86,95,100,3.08,CN,1724868092
120,buckeye,33.3703,-112.5838,36.4,28,0,3.09,US,1724868094
121,nema,57.5067,50.5011,14.84,74,6,2.34,RU,1724868095
122,kemi,65.8596,24.8228,14.87,88,0,2.57,FI,1724868097
123,toccoa,34.5773,-83.3324,34.59,42,0,2.57,US,1724868099
124,holualoa,19.6228,-155.9522,24.93,88,0,0.88,US,1724868079
125,chonchi,-42.6128,-73.8092,12.14,62,4,2.64,CL,1724868101
126,nehe,48.4833,124.8333,16.14,60,80,1.64,CN,1724868102
127,parabel',58.6978,81.4825,14.89,88,47,2.25,RU,1724868104
128,st. john's,47.5649,-52.7093,22.86,63,75,11.32,CA,1724868105
129,college,64.8569,-147.8028,11.93,77,100,1.05,US,1724868106
130,itoman,26.1247,127.6694,30.22,86,75,8.23,JP,1724868107
131,ataq,14.5377,46.8319,26.68,60,100,4.11,YE,1724868109
132,suva,-18.1416,178.4415,16.71,100,20,2.06,FJ,1724868110
